Level,Patch,Accuracy,AUC
3,Corner_TL,0.86525,0.936235975
3,Corner_TR,0.86035,0.9339109000000001
3,Corner_BL,0.82295,0.902619745
3,Corner_BR,0.82015,0.90255856
3,Center_TL,0.9508,0.98988162
3,Center_TR,0.94735,0.9886036599999999
3,Center_BL,0.936,0.9839497399999999
3,Center_BR,0.94,0.98566533
7,Corner_TL,0.93505,0.983582805
7,Corner_TR,0.93245,0.98234911
7,Corner_BL,0.90645,0.97004202
7,Corner_BR,0.90915,0.9707252699999999
7,Center_TL,0.96815,0.99520367
7,Center_TR,0.96585,0.9948731800000001
7,Center_BL,0.96615,0.9946205
7,Center_BR,0.9683,0.9954360600000002
11,Corner_TL,0.96595,0.9940498300000001
11,Corner_TR,0.9652,0.99408119
11,Corner_BL,0.94625,0.9886314700000001
11,Corner_BR,0.94655,0.98829243
11,Center_TL,0.9697,0.99618784
11,Center_TR,0.96875,0.9961958500000001
11,Center_BL,0.96985,0.9962020599999999
11,Center_BR,0.96885,0.9959061100000001
15,Corner_TL,0.95055,0.9890959650000001
15,Corner_TR,0.9555,0.990202845
15,Corner_BL,0.9267,0.9799129150000001
15,Corner_BR,0.9311,0.9799845150000001
15,Center_TL,0.9644,0.99455321
15,Center_TR,0.96495,0.9939180750000001
15,Center_BL,0.966,0.9945344700000001
15,Center_BR,0.96075,0.9936935299999999
19,Corner_TL,0.9585,0.9923685950000001
19,Corner_TR,0.96665,0.994058985
19,Corner_BL,0.94345,0.986925985
19,Corner_BR,0.9437,0.98657707
19,Center_TL,0.96405,0.99443373
19,Center_TR,0.96475,0.99367647
19,Center_BL,0.96455,0.9936568100000001
19,Center_BR,0.9565,0.9914219599999999
23,Corner_TL,0.9835,0.9986410200000001
23,Corner_TR,0.9839,0.99875737
23,Corner_BL,0.97805,0.9976341400000001
23,Corner_BR,0.9795,0.9978739849999999
23,Center_TL,0.98115,0.9983929299999998
23,Center_TR,0.9832,0.9985961299999999
23,Center_BL,0.9831,0.9985643399999999
23,Center_BR,0.98095,0.99813697
