Levels,AUC,ACC
level_1,0.96395383,0.81325
level_3,0.91165823,0.8392
level_5,0.7513806900000001,0.5861
level_7,0.9329063800000001,0.6696
level_9,0.97272381,0.6448
level_11,0.9963345299999999,0.7859499999999999
level_13,0.98125001,0.70895
level_15,0.9937198199999999,0.8141499999999999
level_17,0.9951516300000001,0.8521000000000001
level_19,0.99427917,0.8755
level_21,0.99737505,0.9334
level_23,0.9973439100000001,0.93875
