Level,Patch,Accuracy,AUC
1,CLS,0.94755,0.9918988000000002
3,CLS,0.9847,0.9990647
5,CLS,0.9951,0.99986388
7,CLS,0.99905,0.99999436
9,CLS,0.9992,0.99999838
11,CLS,0.99975,0.99999973
13,CLS,0.9998,0.99999929
15,CLS,0.9996,0.99999913
17,CLS,0.9996,0.99999883
19,CLS,0.9994,0.9999981099999999
21,CLS,0.9991,0.9999937099999999
23,CLS,0.99855,0.99999026
