Level,Patch,Accuracy,AUC
1,CLS,0.93575,0.9849087200000001
3,CLS,0.96025,0.9936752899999999
5,CLS,0.98155,0.99846467
7,CLS,0.99855,0.99998863
9,CLS,0.99955,0.99999934
11,CLS,0.99985,0.99999985
13,CLS,0.9998,0.99999946
15,CLS,0.99975,0.9999998299999999
17,CLS,0.99965,0.9999992799999999
19,CLS,0.99945,0.9999981
21,CLS,0.99965,0.99999828
23,CLS,0.99935,0.99999813
