Level,Patch,Accuracy,AUC
1,CLS,0.68595,0.74737225
3,CLS,0.80495,0.87696331
5,CLS,0.8551,0.9214595600000001
7,CLS,0.98015,0.9980599600000001
9,CLS,0.9974,0.99992774
11,CLS,0.99925,0.99998991
13,CLS,0.99935,0.9999979600000001
15,CLS,0.9986,0.99999092
17,CLS,0.99795,0.99998117
19,CLS,0.9971,0.9999327499999999
21,CLS,0.99665,0.99992847
23,CLS,0.9968,0.99992554
