Levels,AUC,ACC
level_1,0.99842548,0.97895
level_3,0.9998051099999999,0.99335
level_5,0.9999919,0.9984999999999999
level_7,0.9999999500000001,0.99985
level_9,0.99999993,0.9998
level_11,0.99999996,0.99985
level_13,0.99999969,0.99995
level_15,0.9999999700000001,0.9999
level_17,0.99999993,0.9999
level_19,0.9999994,0.9998
level_21,0.99999896,0.99965
level_23,0.9999998099999999,0.9997
