Levels,AUC,ACC
level_1,0.97955137,0.9236
level_3,0.9884655999999998,0.94545
level_5,0.99417188,0.96225
level_7,0.9999202,0.9965
level_9,0.99999674,0.9991
level_11,0.9999997500000001,0.99975
level_13,0.99999907,0.9995499999999999
level_15,0.9999996099999999,0.9997
level_17,0.99999854,0.9995
level_19,0.99999597,0.9994
level_21,0.9999975999999999,0.9993
level_23,0.99999652,0.9993
