Levels,AUC,ACC
level_1,0.779974035,0.6335999999999999
level_3,0.899227,0.70565
level_5,0.9129556300000001,0.62025
level_7,0.99282055,0.7986
level_9,0.9949761750000001,0.7342
level_11,0.99667589,0.7637
level_13,0.9953227599999999,0.82175
level_15,0.99703445,0.8208
level_17,0.9965042000000001,0.8281499999999999
level_19,0.99846508,0.91125
level_21,0.99862891,0.93155
level_23,0.99818756,0.9320999999999999
