Levels,AUC,ACC
level_1,0.74724669,0.6860999999999999
level_3,0.8769758799999999,0.8048
level_5,0.92132697,0.855
level_7,0.9980694300000001,0.9803
level_9,0.9999280199999999,0.99735
level_11,0.9999905299999999,0.99925
level_13,0.99999796,0.99935
level_15,0.99999084,0.9985999999999999
level_17,0.99998124,0.998
level_19,0.99993328,0.9971000000000001
level_21,0.99992766,0.99675
level_23,0.9999257899999999,0.99665
