Levels,AUC,ACC
level_1,0.715565045,0.51795
level_3,0.77283058,0.52255
level_5,0.851316875,0.53225
level_7,0.940985985,0.5681
level_9,0.977558645,0.56465
level_11,0.9906180449999997,0.58775
level_13,0.9939801,0.6572
level_15,0.992127435,0.5972
level_17,0.99090869,0.65955
level_19,0.9910147599999999,0.7012
level_21,0.99506131,0.7666
level_23,0.99593777,0.8427500000000001
