Level,Patch,Accuracy,AUC
1,CLS,0.97535,0.99785953
3,CLS,0.99285,0.9997871000000002
5,CLS,0.9988,0.9999914299999999
7,CLS,0.9999,0.99999992
9,CLS,0.99995,1.0
11,CLS,0.9999,0.99999996
13,CLS,0.99985,0.99999995
15,CLS,0.99985,0.99999997
17,CLS,0.99985,0.99999991
19,CLS,0.99985,0.99999987
21,CLS,0.99955,0.9999996500000001
23,CLS,0.9995,0.9999992600000001
