Level,Patch,Accuracy,AUC
1,CLS,0.9236,0.9795505300000001
3,CLS,0.94545,0.98847502
5,CLS,0.9621,0.9941597899999999
7,CLS,0.9965,0.99992039
9,CLS,0.99905,0.99999667
11,CLS,0.99975,0.99999976
13,CLS,0.99955,0.9999990900000001
15,CLS,0.9997,0.9999996299999999
17,CLS,0.9995,0.9999985
19,CLS,0.9994,0.99999584
21,CLS,0.9994,0.9999975799999999
23,CLS,0.9992,0.99999636
