Level,Patch,Accuracy,AUC
3,Corner_TL,0.8654,0.93622792
3,Corner_TR,0.86025,0.933841975
3,Corner_BL,0.82245,0.90264633
3,Corner_BR,0.81905,0.90242982
3,Center_TL,0.95045,0.9898995999999999
3,Center_TR,0.9476,0.98868504
3,Center_BL,0.93695,0.9839887399999998
3,Center_BR,0.9402,0.9857001700000001
7,Corner_TL,0.93525,0.983497965
7,Corner_TR,0.93205,0.9823759699999999
7,Corner_BL,0.90595,0.970023725
7,Corner_BR,0.9084,0.9706548099999999
7,Center_TL,0.968,0.995203355
7,Center_TR,0.96595,0.9948156399999999
7,Center_BL,0.96515,0.99459294
7,Center_BR,0.96835,0.99543349
11,Corner_TL,0.96545,0.99405161
11,Corner_TR,0.9647,0.99407469
11,Corner_BL,0.94575,0.9885273749999998
11,Corner_BR,0.9465,0.9883145600000001
11,Center_TL,0.9695,0.99620076
11,Center_TR,0.969,0.996232415
11,Center_BL,0.9693,0.99621313
11,Center_BR,0.96795,0.99589503
15,Corner_TL,0.9503,0.98904462
15,Corner_TR,0.95545,0.9902263699999999
15,Corner_BL,0.9273,0.98017756
15,Corner_BR,0.93095,0.9801295649999999
15,Center_TL,0.9635,0.99446215
15,Center_TR,0.965,0.99389401
15,Center_BL,0.9662,0.99453849
15,Center_BR,0.96095,0.9937106599999999
19,Corner_TL,0.9595,0.9924361749999999
19,Corner_TR,0.9666,0.99407453
19,Corner_BL,0.944,0.98696517
19,Corner_BR,0.9438,0.9865594649999999
19,Center_TL,0.96365,0.994365235
19,Center_TR,0.96405,0.9935113
19,Center_BL,0.96445,0.9936370899999999
19,Center_BR,0.95685,0.991505325
23,Corner_TL,0.9829,0.998638555
23,Corner_TR,0.98405,0.99875635
23,Corner_BL,0.9776,0.9976428900000001
23,Corner_BR,0.97935,0.9978726699999999
23,Center_TL,0.9813,0.9984043900000001
23,Center_TR,0.98345,0.99860029
23,Center_BL,0.98295,0.9985561800000001
23,Center_BR,0.98115,0.9981501100000001
